NWT Number,Loss,Mass Balance,Seconds Elapased,# of Iterations,Min Loss
0,999999999999.0,999999.0,21000.0,-1.0,9999.0
1,999999999999.0,999999.0,21000.0,-1.0,9999.0
2,5845.168811129056,-0.24,5518.0,2.0,5845.168811129056
3,999999999999.0,999999.0,21000.0,-1.0,5845.168811129056
4,999999999999.0,999999.0,21000.0,-1.0,5845.168811129056
5,999999999999.0,999999.0,999999.0,-1.0,5845.168811129056
6,11620.647329403917,-0.02,11616.0,4.0,5845.168811129056
7,999999999999.0,999999.0,999999.0,-1.0,5845.168811129056
8,8226.266801697559,-0.73,4828.0,2.0,5845.168811129056
9,4461.18458198594,-0.61,3075.029,2.0,4461.18458198594
10,999999999999.0,999999.0,21000.0,-1.0,4461.18458198594
11,3853.0814860602213,-0.2,3702.0,2.0,3853.0814860602213
12,999999999999.0,999999.0,21000.0,-1.0,3853.0814860602213
13,7022.234595017676,-0.06,6997.0,2.0,3853.0814860602213
14,4270.655555567771,-0.17,4149.0,3.0,3853.0814860602213
15,1870.571078805787,-0.02,1869.823,3.0,1870.571078805787
16,7.66488353612916e+38,8.93,17854.0,1.0,1870.571078805787
17,12099.209860492017,-0.01,12098.0,9.0,1870.571078805787
18,22262.726730948416,-0.29,20467.0,2.0,1870.571078805787
19,10648.064753236775,-0.01,10647.0,2.0,1870.571078805787
20,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
21,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
22,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
23,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
24,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
25,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
26,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
27,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
28,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
29,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
30,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
31,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
32,16666.0,0.0,16666.0,2.0,1870.571078805787
33,14503.668531675083,-0.59,10240.0,2.0,1870.571078805787
34,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
35,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
36,999999999999.0,999999.0,21000.0,-1.0,1870.571078805787
37,999999999999.0,999999.0,21000.0,-1.0,1870.571078805787
38,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
39,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
40,14887.761470229127,-0.86,7106.0,9.0,1870.571078805787
41,999999999999.0,999999.0,21000.0,-1.0,1870.571078805787
42,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
43,10614.934750695144,-0.43,8823.0,4.0,1870.571078805787
44,225893.6923161635,1.82,8229.0,1.0,1870.571078805787
45,9199.01054093841,-0.48,7306.0,2.0,1870.571078805787
46,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
47,999999999999.0,999999.0,999999.0,-1.0,1870.571078805787
48,1075.78107196962,-0.19,1037.638,4.0,1075.78107196962
49,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
50,5529.274357541073,-0.08,5494.0,2.0,1075.78107196962
51,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
52,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
53,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
54,9127.966425585124,-0.13,8975.0,2.0,1075.78107196962
55,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
56,21786.303961375837,-0.49,17136.0,2.0,1075.78107196962
57,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
58,1807.1692805004798,-0.05,1802.657,4.0,1075.78107196962
59,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
60,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
61,14972.80519123463,-0.06,14919.0,3.0,1075.78107196962
62,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
63,10900.806312178554,-0.03,10891.0,2.0,1075.78107196962
64,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
65,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
66,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
67,54920.83358457267,1.12,15666.0,2.0,1075.78107196962
68,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
69,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
70,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
71,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
72,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
73,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
74,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
75,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
76,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
77,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
78,3809.9092302414815,-0.1,3772.0,3.0,1075.78107196962
79,7877.094334393754,-0.16,7678.0,2.0,1075.78107196962
80,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
81,11628.681472849528,-0.21,11127.0,3.0,1075.78107196962
82,12001.200060002,-0.01,12000.0,2.0,1075.78107196962
83,15650.267114975364,-0.13,15388.0,2.0,1075.78107196962
84,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
85,11650.835806309593,-0.2,11194.0,2.0,1075.78107196962
86,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
87,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
88,9309.051017071792,-0.24,8788.0,2.0,1075.78107196962
89,9600.107137311368,-0.76,5388.0,2.0,1075.78107196962
90,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
91,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
92,10884.313090670768,-0.77,6016.0,2.0,1075.78107196962
93,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
94,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
95,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
96,19942.854493266706,-0.11,19703.0,3.0,1075.78107196962
97,11800.681905256046,-0.07,11743.0,2.0,1075.78107196962
98,18069.888704800916,-0.04,18041.0,2.0,1075.78107196962
99,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
100,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
101,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
102,17520.761591652335,-0.03,17505.0,3.0,1075.78107196962
103,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
104,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
105,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
106,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
107,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
108,8010.801040051336,-0.01,8010.0,3.0,1075.78107196962
109,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
110,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
111,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
112,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
113,8874.187346850846,-0.04,8860.0,4.0,1075.78107196962
114,8870.35844142852,0.07,8827.0,4.0,1075.78107196962
115,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
116,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
117,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
118,3964.789020629115,-0.57,2864.955,2.0,1075.78107196962
119,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
120,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
121,20969.524412378025,-0.04,20936.0,2.0,1075.78107196962
122,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
123,10704.746948220509,-0.11,10576.0,2.0,1075.78107196962
124,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
125,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
126,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
127,17739.510977357375,-1.09,5407.0,2.0,1075.78107196962
128,5733.173485510765,-0.5,4465.0,2.0,1075.78107196962
129,5534.306691913951,-0.25,5199.0,2.0,1075.78107196962
130,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
131,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
132,6227.2863791297705,-0.7,3815.0,2.0,1075.78107196962
133,10754.984851471816,-0.28,9944.0,2.0,1075.78107196962
134,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
135,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
136,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
137,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
138,7160.441498239406,-0.03,7154.0,2.0,1075.78107196962
139,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
140,2.6038619079902197e+28,7.49,11263.0,2.0,1075.78107196962
141,1132.3174345769364,0.16,1103.698,3.0,1075.78107196962
142,3247.321787730865,-0.31,2949.78,2.0,1075.78107196962
143,19150.016269123087,-0.28,17706.0,2.0,1075.78107196962
144,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
145,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
146,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
147,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
148,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
149,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
150,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
151,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
152,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
153,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
154,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
155,5498.835222407778,-0.54,4108.0,2.0,1075.78107196962
156,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
157,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
158,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
159,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
160,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
161,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
162,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
163,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
164,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
165,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
166,3349.623006105315,-0.07,3333.25,2.0,1075.78107196962
167,15675.28266420141,-0.83,7871.0,2.0,1075.78107196962
168,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
169,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
170,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
171,16691.783376532294,-0.43,13874.0,2.0,1075.78107196962
172,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
173,9754.721730453344,-0.7,5976.0,2.0,1075.78107196962
174,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
175,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
176,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
177,27248.835587081343,-0.86,13006.0,2.0,1075.78107196962
178,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
179,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
180,4920.285350289243,-0.05,4908.0,6.0,1075.78107196962
181,5790.081292256051,-0.8,3053.066,6.0,1075.78107196962
182,11375.233104206158,-0.03,11365.0,2.0,1075.78107196962
183,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
184,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
185,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
186,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
187,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
188,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
189,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
190,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
191,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
192,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
193,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
194,11665.420290909826,-0.08,11591.0,3.0,1075.78107196962
195,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
196,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
197,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
198,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
199,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
200,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
201,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
202,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
203,4730.064932455159,-0.1,4683.0,2.0,1075.78107196962
204,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
205,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
206,237283.77083271238,1.94,5505.0,2.0,1075.78107196962
207,1728.782218238573,-0.11,1707.99,3.0,1075.78107196962
208,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
209,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
210,2114.96678383951,-0.34,1884.079,2.0,1075.78107196962
211,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
212,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
213,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
214,999999999999.0,999999.0,21000.0,-1.0,1075.78107196962
215,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
216,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
217,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
218,13257.61830779736,-0.39,11387.0,2.0,1075.78107196962
219,3715.992583647827,-0.4,3166.56,6.0,1075.78107196962
220,4094.1186906583703,-0.08,4068.0,6.0,1075.78107196962
221,2016.9147342317112,-0.45,1647.187,2.0,1075.78107196962
222,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
223,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
224,2489.396630947226,-0.38,2154.676,2.0,1075.78107196962
225,999999999999.0,999999.0,999999.0,-1.0,1075.78107196962
226,1018.6796036122555,-0.21,974.732,3.0,1018.6796036122555
227,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
228,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
229,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
230,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
231,4650.542930165003,-0.16,4533.0,2.0,1018.6796036122555
232,10609.124182354131,-0.06,10571.0,2.0,1018.6796036122555
233,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
234,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
235,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
236,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
237,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
238,1836.5786016846766,-0.15,1795.717,2.0,1018.6796036122555
239,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
240,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
241,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
242,6519.127651900655,-0.26,6093.0,4.0,1018.6796036122555
243,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
244,14504.0,-0.0,14504.0,15.0,1018.6796036122555
245,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
246,3875.0877846060953,-0.22,3692.0,3.0,1018.6796036122555
247,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
248,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
249,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
250,7323.008262130159,-0.63,4924.0,2.0,1018.6796036122555
251,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
252,4934.715572838764,-0.34,4396.0,2.0,1018.6796036122555
253,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
254,22029.040682594543,-1.1,6569.0,2.0,1018.6796036122555
255,15070.820844114432,-0.87,7070.0,2.0,1018.6796036122555
256,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
257,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
258,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
259,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
260,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
261,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
262,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
263,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
264,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
265,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
266,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
267,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
268,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
269,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
270,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
271,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
272,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
273,6968.3992399878825,-0.05,6951.0,2.0,1018.6796036122555
274,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
275,7049.2928009909065,-0.59,4977.0,2.0,1018.6796036122555
276,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
277,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
278,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
279,6834.195654670249,-0.31,6208.0,2.0,1018.6796036122555
280,4865.841622687259,-0.31,4420.0,2.0,1018.6796036122555
281,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
282,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
283,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
284,11439.704280921376,-0.64,7595.0,2.0,1018.6796036122555
285,5118.089358477067,-0.25,4808.0,6.0,1018.6796036122555
286,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
287,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
288,12485.108067652962,-0.94,5160.0,2.0,1018.6796036122555
289,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
290,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
291,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
292,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
293,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
294,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
295,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
296,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
297,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
298,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
299,4124.594073852346,-0.04,4118.0,4.0,1018.6796036122555
300,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
301,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
302,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
303,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
304,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
305,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
306,9590.052424276579,-0.81,4976.0,2.0,1018.6796036122555
307,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
308,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
309,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
310,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
311,9384.002398718463,-0.04,9369.0,7.0,1018.6796036122555
312,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
313,4859.507156831979,-0.88,2240.137,2.0,1018.6796036122555
314,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
315,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
316,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
317,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
318,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
319,6029.215882546029,-0.18,5837.0,2.0,1018.6796036122555
320,2805.8094865870667,0.76,1574.743,2.0,1018.6796036122555
321,13854.384930089265,-0.08,13766.0,2.0,1018.6796036122555
322,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
323,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
324,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
325,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
326,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
327,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
328,8425.842542126404,-0.01,8425.0,3.0,1018.6796036122555
329,5777.860789684546,-0.19,5573.0,2.0,1018.6796036122555
330,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
331,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
332,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
333,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
334,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
335,3832.4476512103283,-0.03,3829.0,2.0,1018.6796036122555
336,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
337,6377.0,-0.0,6377.0,3.0,1018.6796036122555
338,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
339,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
340,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
341,13573.060438138757,-0.16,13230.0,3.0,1018.6796036122555
342,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
343,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
344,22681.993974813286,-0.57,16390.0,2.0,1018.6796036122555
345,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
346,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
347,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
348,12783.691774265253,-1.03,4425.0,2.0,1018.6796036122555
349,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
350,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
351,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
352,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
353,12370.716974816196,-0.95,5017.0,2.0,1018.6796036122555
354,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
355,2835.6950796722376,-0.25,2663.889,2.0,1018.6796036122555
356,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
357,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
358,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
359,999999999999.0,999999.0,999999.0,-1.0,1018.6796036122555
360,20706.03331313795,-0.11,20457.0,3.0,1018.6796036122555
361,999999999999.0,999999.0,21000.0,-1.0,1018.6796036122555
362,13446.0,-0.0,13446.0,9.0,1018.6796036122555
