NWT Number,Loss,Mass Balance,Seconds Elapased,# of Iterations,Min Loss
5,999999999999.0,999999,750.0,-1,9999
10,999999999999.0,999999,750.0,-1,9999
13,999999999999.0,999999,750.0,-1,9999
17,999999999999.0,999999,750.0,-1,9999
27,999999999999.0,999999,750.0,-1,9999
28,999999999999.0,999999,750.0,-1,9999
30,999999999999.0,999999,750.0,-1,9999
33,999999999999.0,999999,750.0,-1,9999
34,999999999999.0,999999,750.0,-1,9999
35,999999999999.0,999999,750.0,-1,9999
36,999999999999.0,999999,750.0,-1,9999
37,999999999999.0,999999,750.0,-1,9999
38,999999999999.0,999999,750.0,-1,9999
39,999999999999.0,999999,750.0,-1,9999
40,999999999999.0,999999,750.0,-1,9999
41,999999999999.0,999999,750.0,-1,9999
43,999999999999.0,999999,750.0,-1,9999
44,999999999999.0,999999,750.0,-1,9999
46,999999999999.0,999999,750.0,-1,9999
48,999999999999.0,999999,750.0,-1,9999
49,999999999999.0,999999,750.0,-1,9999
51,999999999999.0,999999,750.0,-1,9999
52,999999999999.0,999999,750.0,-1,9999
54,999999999999.0,999999,750.0,-1,9999
56,999999999999.0,999999,750.0,-1,9999
59,999999999999.0,999999,750.0,-1,9999
64,999999999999.0,999999,750.0,-1,9999
65,999999999999.0,999999,750.0,-1,9999
66,999999999999.0,999999,750.0,-1,9999
67,999999999999.0,999999,750.0,-1,9999
68,999999999999.0,999999,750.0,-1,9999
69,999999999999.0,999999,750.0,-1,9999
70,999999999999.0,999999,750.0,-1,9999
71,999999999999.0,999999,750.0,-1,9999
72,999999999999.0,999999,750.0,-1,9999
73,999999999999.0,999999,750.0,-1,9999
75,999999999999.0,999999,750.0,-1,9999
77,999999999999.0,999999,750.0,-1,9999
81,999999999999.0,999999,750.0,-1,9999
82,999999999999.0,999999,750.0,-1,9999
83,999999999999.0,999999,750.0,-1,9999
86,999999999999.0,999999,750.0,-1,9999
88,999999999999.0,999999,750.0,-1,9999
89,999999999999.0,999999,750.0,-1,9999
92,999999999999.0,999999,750.0,-1,9999
93,999999999999.0,999999,750.0,-1,9999
94,999999999999.0,999999,750.0,-1,9999
95,999999999999.0,999999,750.0,-1,9999
98,999999999999.0,999999,750.0,-1,9999
99,999999999999.0,999999,750.0,-1,9999
103,999999999999.0,999999,750.0,-1,9999
104,999999999999.0,999999,750.0,-1,9999
106,999999999999.0,999999,750.0,-1,9999
108,999999999999.0,999999,750.0,-1,9999
109,999999999999.0,999999,750.0,-1,9999
111,999999999999.0,999999,750.0,-1,9999
112,999999999999.0,999999,750.0,-1,9999
113,999999999999.0,999999,750.0,-1,9999
116,999999999999.0,999999,750.0,-1,9999
117,999999999999.0,999999,750.0,-1,9999
118,999999999999.0,999999,750.0,-1,9999
119,999999999999.0,999999,750.0,-1,9999
121,999999999999.0,999999,750.0,-1,9999
123,999999999999.0,999999,750.0,-1,9999
124,999999999999.0,999999,750.0,-1,9999
125,999999999999.0,999999,750.0,-1,9999
127,999999999999.0,999999,750.0,-1,9999
129,999999999999.0,999999,750.0,-1,9999
130,999999999999.0,999999,750.0,-1,9999
132,999999999999.0,999999,750.0,-1,9999
133,999999999999.0,999999,750.0,-1,9999
134,999999999999.0,999999,750.0,-1,9999
140,999999999999.0,999999,750.0,-1,9999
